Column name	Data type	Description	Free Response?
PRIMER_DATE	int	when the primer plate was created; lab processing information	No
PRIMER_PLATE	int	primer plate used for sample processing	No
PROCESSING_ROBOT	str	The robot used for PCR prep; lab processing information	No
PROJECT_NAME	str	A database standard field; The name of the sequencing run	No
PROTEIN_PER	int	Percentage of calories from protein consumed over the course of the studied week	No
PUBLIC	bool	if the sample is publically avaliable in the database	No
QUINOLINE	bool	Participant has been treated with quinolin in the past year	derived
RACE	str		No
RACE_OTHER	str	Free text if "Race" is other	Yes
REGION		A legacy database field	No
RELATIONS	str	relatives who are also submitting american gut samples	Yes
REQUIRED_SAMPLE_INFO_STATUS	str	A databse field	No
ROOMMATES	str	number of nonrelated roommates	No
RUN_CENTER	str	where the sample was sequenced	No
RUN_DATE	date	when the sample was sequenced	No
RUN_PREFIX	str	a description of the sequencing run	No
SAMPLE	str	Another column giving the same barcode without preceeding zeros or a run suffix. This is synonymous with ANONIMIZED_NAME, ORI_NAME, or ORI_SAMPLE_NAME	No
SAMPLE_CENTER	str	Lab processing field; the location where the sample was processed	No
SAMPLE_DESCRIPTION	str	Lab processing field; a description of the place where the sample was run	No
SAMPLE_ID	str	A numeric sample identifier	No
SAMPLE_NAME	int	A column giving the same barcode without preceeding zeros or a run suffix. This is synonymous with ANONIMIZED_NAME, ORI_NAME, or ORI_SAMPLE_NAME	No
SAMPLE_PLATE	str	The plate on which the sample was run	No
SAMPLE_TIME	time	When the sample was collected	No
SAMP_SIZE	str	Sample mass used in analysis; Lab standard field	No
SEASONAL_ALLERGIES	str	Does the participant have seasonal allergies?	No
SEQUENCING_METH	str	Lab processing field	No
SEQ_RUN	str	The run on which samples were sequenced	No
SEX	str	Participant gender	No
SHARED_HOUSING	str	Does the participant live in commnaul housing (dorm, frat, senior living)	No
SITE_SAMPLED	str	Where was the sample collected?	No
SKIN_CONDITION	str	If the participant has a skin condition	No
SLEEP_DURATION	str	How long the participant sleeps in the average night	No
SMOKING_FREQUENCY	str	How often the participant smokes	No
SOFTENER	str	Does the participant use fabric softener	No
SPECIAL_RESTRICTIONS	bool	Does the participant have dietary restrictions	No
STATE	str	The state or provenance where the sample was collected	No
STUDY_CENTER	str	Where the samples were sequenced	No
SULFA_DRUG	bool	If the participant used sulfa drugs in the past year	derived
SUPPLEMENTS	bool	does the participant take suplements	No
SUPPLEMENTS_FIELDS	str	what supplements does the participant take	Yes
TANNING_BEDS	str	the participant uses a tanning bed or does not tan	No
TANNING_SPRAYS	str	the participant uses a tanning spray or does not tan	No
TARGET_GENE	str	The gene sequenced; A database standard field	No
TARGET_SUBFRAGMENT	str	The part of the gene sequence; a database standard field	No
TAXON_ID	int	A description of the host Taxon	No
TEETHBRUSHING_FREQUENCY	str	frequency with which participant brushes their teeth	No
TITLE	str	study name	No
TM1000_8_TOOL	str	Lab processing Field	No
TM300_8_TOOL	str	Lab processing Field	No
TM50_8_TOOL	str	Lab processing Field	No
TONSILS_REMOVED	Bool	if participant had their tonsils removed	No
TOT_MASS	int	participant weight in kilograms	No
TYPES_OF_PLANTS	str	Number of plant species eaten in week of observation	No
WATER_LOT	str	Lab processing field; The water used to in sample processing	No
WEIGHT_CHANGE	str	if the participants weight has changed more than 10 lbs in the past year	No
WEIGHT_LBS	int	weight in pounds	No
WELL_ID	str	The plate well where the sample was sequenced	No
ZIP	str	participant zipcode	No
